scenario,district_name,baseline_yield,delta_yield,projected_yield,pct_change
SSP5-8.5 (2080),Noakhali,4.712,0.3133,5.025,6.65
SSP5-8.5 (2080),Pabna,4.069,0.3133,4.383,7.7
SSP5-8.5 (2080),Panchagarh,4.095,0.3133,4.408,7.65
SSP5-8.5 (2080),Patuakhali,2.654,0.3133,2.968,11.81
SSP5-8.5 (2080),Pirojpur,4.079,0.3133,4.392,7.68
SSP5-8.5 (2080),Rajbari,4.258,0.3133,4.571,7.36
SSP5-8.5 (2080),Rajshahi,4.074,0.3133,4.388,7.69
SSP5-8.5 (2080),Rangamati,4.089,0.3133,4.402,7.66
SSP5-8.5 (2080),Rangpur,4.435,0.3133,4.749,7.06
SSP5-8.5 (2080),Satkhira,3.917,0.3133,4.23,8.0
SSP5-8.5 (2080),Shariatpur,4.372,0.3133,4.685,7.17
SSP5-8.5 (2080),Sherpur,4.209,0.3133,4.522,7.45
SSP5-8.5 (2080),Sirajganj,4.31,0.3133,4.623,7.27
SSP5-8.5 (2080),Sunamganj,3.838,0.3133,4.152,8.16
SSP5-8.5 (2080),Sylhet,3.052,0.3133,3.365,10.27
SSP5-8.5 (2080),Tangail,4.266,0.3133,4.579,7.35
SSP5-8.5 (2080),Thakurgaon,3.937,0.3133,4.25,7.96
